Team,Year,Coach,Internal?,Type,Years,,
NJN,2000,Byron Scott,No,Previous AC,3.5,,
TOR,2000,Lenny Wilkens,No,Previous HC,3,,
VAN,2000,Sidney Lowe,No,Previous HC,1,,
WAS,2000,Leonard Hamilton,No,College,1,,
CLE,1999,Randy Wittman,No,Previous AC,2,,
DEN,1999,Dan Issel,Yes,Previous HC,2.5,,
LAL,1999,Phil Jackson,No,Previous HC,11,,
ORL,1999,Doc Rivers,No,Player,4.5,,
WAS,1999,Gar Heard,No,Previous AC,0.5,,
CHI,1998,Tim Floyd,No,College,3.5,,
DEN,1998,Mike D'Antoni,Yes,Previous AC,1,,
LAC,1998,Chris Ford,No,Previous HC,1.5,,
MIL,1998,George Karl,No,Previous HC,5,,
SAC,1998,Rick Adelman,No,Previous HC,8,,
SEA,1998,Paul Westphal,No,Previous HC,2.5,,
BOS,1997,Rick Pitino,No,Previous HC,3.5,,
DEN,1997,Bill Hanzlik,No,Previous AC,1,,
GSW,1997,PJ Carlesimo,No,Previous HC,2.5,,
IND,1997,Larry Bird,Yes,Management,3,,
ORL,1997,Chuck Daly,No,Previous HC,2,,
PHI,1997,Larry Brown,No,Previous HC,6,,
POR,1997,Mike Dunleavy Sr,No,Previous HC,4,,
VAN,1997,Brian Hill,No,Previous HC,2.5,,
CHO,1996,Dave Cowens,No,Previous HC,2.5,,
DAL,1996,Jim Cleamons,No,Previous AC,1.5,,
MIL,1996,Chris Ford,No,Previous HC,2,,
NJN,1996,John Calipari,No,College,2.5,,
PHI,1996,Johnny Davis,No,Previous AC,1,,
PHO,1996,Danny Ainge,Yes,Previous AC,3.5,,
TOR,1996,Darrell Walker,Yes,Previous AC,1.5,,
BOS,1995,M.L. Carr,Yes,Management,2,,
DET,1995,Doug Collins,No,Previous HC,2.5,,
GSW,1995,Rick Adelman,No,Previous HC,2,,
MIA,1995,Pat Riley,No,Previous HC,11,,
NYK,1995,Don Nelson,No,Previous HC,0.5,,
TOR,1995,Brendan Malone,No,Previous AC,1,,
